sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N7-CON-3-soil-30,684.16,71.41,-26.84,5.96,N7-CON,North,30,CON,N7
N7-CON-3-soil-30-D,717.77,67.2,-27.61,4.27,N7-CON,North,-D,CON,N7
N7-CON-3-soil-60,363.16,38.01,-25.52,6.13,N7-CON,North,60,CON,N7
N7-CON-3-soil-60-D,219.39,21.03,-26.33,4.77,N7-CON,North,-D,CON,N7
N7-CON-4-soil-15,981.76,86.1,-28.96,3.04,N7-CON,North,15,CON,N7
N7-CON-4-soil-30,591.35,57.23,-27.29,4.96,N7-CON,North,30,CON,N7
N7-CON-4-soil-60,309.44,27.99,-26.94,4.77,N7-CON,North,60,CON,N7
N7-CON-5-soil-15,1096.49,88.35,-28.76,2.89,N7-CON,North,15,CON,N7
N7-CON-5-soil-30,493.25,49.16,-27.23,4.55,N7-CON,North,30,CON,N7
N7-CON-5-soil-60,329.48,29.91,-26.86,4.53,N7-CON,North,60,CON,N7
N7-CON-6-soil-15,832.74,74.88,-28.24,3.57,N7-CON,North,15,CON,N7
N7-CON-6-soil-30,513.19,53.09,-26.42,5.47,N7-CON,North,30,CON,N7
N7-CON-6-soil-60,292.43,27.7,-26.78,4.98,N7-CON,North,60,CON,N7
N7-CON-7-soil-15,1242.74,104.11,-28.68,3.17,N7-CON,North,15,CON,N7
N7-CON-7-soil-30,545.89,53.95,-26.98,5.19,N7-CON,North,30,CON,N7
N7-CON-7-soil-60,326.48,30.86,-26.72,4.9,N7-CON,North,60,CON,N7
N7-CON-8-soil-15,1047.99,86.09,-28.8,3.31,N7-CON,North,15,CON,N7
N7-CON-8-soil-30,657.46,65.67,-27,4.95,N7-CON,North,30,CON,N7
N7-CON-8-soil-60,286.76,28.37,-26.42,5.35,N7-CON,North,60,CON,N7
N7-CON-9-soil-15,1236.78,105.76,-28.15,2.81,N7-CON,North,15,CON,N7
